NUM_ELEMENTS, LOCAL_SIZE, GigaMultsPerSecond
 1048576,   8,     1.913
 2097152,   8,     2.348
 4194304,   8,     2.728
 8388608,   8,     2.653
 1048576,  16,     2.654
 2097152,  16,     3.464
 4194304,  16,     4.394
 8388608,  16,     1.895
 1048576,  32,     3.237
 2097152,  32,     2.790
 4194304,  32,     5.466
 8388608,  32,     8.070
 1048576,  64,     0.137
 2097152,  64,     6.139
 4194304,  64,     7.108
 8388608,  64,     9.951
 1048576, 128,     3.122
 2097152, 128,     4.364
 4194304, 128,     5.141
 8388608, 128,    11.620
 1048576, 256,     3.164
 2097152, 256,     4.592
 4194304, 256,     7.587
 8388608, 256,     9.317
 1048576, 512,     1.781
 2097152, 512,     5.690
 4194304, 512,     6.767
 8388608, 512,    10.107
